PersonalID,FirstName,LastName,SSN,SSNDataQuality,DOB,DOBDataQuality,RaceEthnicity,Gender,VeteranStatus,DisablingCondition,CreatedDate
3bed0d1a,Daniel,Lee,714-XX-XXXX,1,1983-11-15 19:20:36.360622,9,[3],[1],0,1,2022-04-01
38b80db0,James,Moore,943-46-4102,1,1994-07-03 19:20:36.360631,1,[1],[0],0,1,2024-05-30
93f8400b,Elizabeth,Martinez,518-28-1471,1,1989-06-30 19:20:36.360639,1,"[3, 5]","[0, 5]",0,0,2023-02-21
6e3f2e79,Jessica,Thomas,368-40-8388,2,1982-12-25 19:20:36.360647,1,[3],[0],1,8,2023-12-04
8268baea,Lisa,Thomas,478-XX-XXXX,1,1978-11-21 19:20:36.360656,1,"[3, 6]","[0, 5]",0,1,2022-10-21
0d6ace41,Karen,Davis,762-68-2404,99,1990-01-13 19:20:36.360664,1,"[1, 6, 5]",[9],0,0,2022-01-11
ac605ebe,Emily,Young,236-51-7513,2,2000-07-22 19:20:36.360672,1,[3],[0],0,0,2023-06-25
17e380e9,Robert,Thompson,830-59-7935,1,1968-04-21 19:20:36.360680,1,[5],[1],0,1,2021-01-13
fc5958fb,Sarah,Walker,362-19-2561,1,1993-08-21 19:20:36.360689,99,[6],[1],0,0,2021-05-13
aef7c3a4,Susan,Lee,153-52-4847,2,1992-12-03 19:20:36.360697,1,[3],[0],0,9,2023-10-04
9148caee,Jessica,Robinson,462-87-1745,1,1977-08-11 19:20:36.360705,1,[5],[1],0,1,2021-05-24
12f998c9,Joseph,Wilson,616-89-7241,1,1947-08-27 19:20:36.360713,1,[6],[1],0,0,2022-01-30
d44d8ea5,Margaret,Thompson,504-95-7076,2,2000-12-19 19:20:36.360722,1,"[3, 6]",[9],0,1,2021-04-17
abafd853,Daniel,Martinez,672-15-3938,1,1975-07-21 19:20:36.360730,1,[5],[0],0,1,2021-10-17
83018a7b,James,Williams,615-73-6557,1,1984-12-14 19:20:36.360739,1,[8],[1],1,1,2022-02-23
9c8e3114,Elizabeth,Jones,235-XX-XXXX,1,2006-05-04 19:20:36.360747,1,[1],[0],0,0,2021-09-15
7a70170a,Michael,Allen,827-77-8093,8,1983-11-16 19:20:36.360755,1,[99],[0],0,0,2021-07-07
bd6a85b3,John,Martinez,219-50-1723,1,1949-06-14 19:20:36.360763,1,"[6, 5]",[0],0,1,2021-12-22
f9e4e194,James,Walker,611-XX-XXXX,1,1982-10-04 19:20:36.360772,1,[1],[1],0,1,2024-04-28
2892884f,Ashley,Smith,954-XX-XXXX,1,2006-04-10 19:20:36.360780,1,[1],[0],0,1,2024-01-30
463a0feb,Sandra,Thompson,469-65-5635,1,1987-10-13 19:20:36.360788,1,[3],[3],0,1,2022-02-23
a2c35713,Linda,Miller,369-XX-XXXX,1,2002-03-10 19:20:36.360797,1,[3],[0],0,1,2022-04-29
db1d7cc7,Mark,Lewis,879-43-9470,1,2008-12-25 19:20:36.360805,2,[8],[1],0,0,2023-11-06
de5fe954,Thomas,Miller,268-50-9049,1,2004-07-17 19:20:36.360813,1,[5],[1],0,1,2021-06-10
984f0618,Daniel,Taylor,254-81-8208,8,2006-05-24 19:20:36.360821,1,[5],[1],0,9,2023-05-23
4673fe81,David,Davis,252-16-4766,1,2007-03-27 19:20:36.360829,1,[3],[0],0,1,2023-08-15
78d279b6,Jessica,Hernandez,581-43-3679,1,2006-11-19 19:20:36.360837,1,"[3, 5]",[0],0,1,2022-09-30
01cc4d21,Charles,Walker,546-24-9108,1,1983-05-28 19:20:36.360845,1,[5],[1],0,0,2021-12-03
4f48c137,David,Garcia,465-81-8949,2,2003-05-28 19:20:36.360854,1,[3],[1],1,1,2022-02-09
48e14db7,Daniel,Smith,215-28-3025,1,2000-08-12 19:20:36.360862,9,"[6, 5]",[1],0,1,2022-05-17
22f95794,Daniel,Lee,308-46-3959,2,1978-05-29 19:20:36.360871,1,[3],[1],0,8,2023-05-19
fc29d16e,Sandra,Jones,867-75-5469,1,1998-09-02 19:20:36.360879,1,[5],[1],0,1,2021-12-28
3e40f78e,David,King,779-84-4479,1,1990-08-15 19:20:36.360887,1,[3],[0],0,1,2024-05-25
5f445795,Sarah,Miller,104-77-3958,1,2003-05-19 19:20:36.360895,2,"[3, 6]",[1],0,1,2022-05-25
9926e70e,Charles,King,178-41-9161,1,2004-10-09 19:20:36.360904,1,[5],[1],0,0,2022-09-13
50dbf7ac,Lisa,Thompson,436-13-5657,1,2009-05-29 19:20:36.360912,1,[3],[1],0,1,2022-08-08
3c7df69c,Matthew,Young,796-25-7458,1,2003-07-12 19:20:36.360920,1,[1],[1],0,0,2024-03-26
bf6bda65,Thomas,Lewis,208-51-3519,1,2001-11-29 19:20:36.360928,1,[4],[1],0,0,2023-07-08
9f1f4a2d,Mark,Martin,571-94-8861,1,2003-01-18 19:20:36.360937,1,[3],[0],0,8,2022-02-17
ae26cb9e,Karen,Thomas,375-86-1095,1,2006-01-17 19:20:36.360945,1,[2],[1],0,1,2022-07-11
bf95d33e,Joseph,Lewis,144-93-8423,9,2001-02-21 19:20:36.360953,1,[5],[1],0,1,2023-09-13
9384ddad,Joseph,Martinez,849-82-3118,1,1994-08-02 19:20:36.360961,1,[3],[1],0,0,2021-06-13
d80822ba,Elizabeth,Davis,149-92-5635,1,2006-10-14 19:20:36.360969,8,[6],[1],0,1,2023-01-07
64a78d9a,Charles,Harris,156-19-9964,2,1987-03-24 19:20:36.360977,1,[6],[0],0,0,2023-03-27
124cf483,Robert,Rodriguez,490-XX-XXXX,1,1987-02-23 19:20:36.360986,1,[5],[0],0,0,2023-02-13
a725ad2b,Donald,Jones,361-32-4933,1,1986-08-25 19:20:36.360995,1,[3],[1],0,1,2021-12-10
180ae364,Sandra,Davis,986-XX-XXXX,1,2012-08-14 19:20:36.361003,1,[3],[1],0,0,2023-08-23
6fedc053,Elizabeth,Allen,121-36-3669,1,1967-04-06 19:20:36.361011,1,[5],[1],1,1,2023-06-23
8da3f863,Jennifer,Thomas,512-46-3525,9,1997-05-14 19:20:36.361020,1,[5],[0],0,0,2023-05-16
b04541a3,Sandra,Jackson,602-65-6080,2,2006-06-11 19:20:36.361028,1,[9],[1],0,0,2023-11-01
be4e9fb4,William,White,717-XX-XXXX,1,1965-07-17 19:20:36.361036,1,"[3, 5]",[1],0,0,2024-06-02
384f18e7,Linda,Miller,781-22-7020,8,1966-06-25 19:20:36.361044,1,[3],[0],0,1,2023-06-07
da6b0fc7,Sarah,Thompson,601-67-7358,2,2010-01-22 19:20:36.361052,1,"[3, 5]",[0],0,1,2021-11-16
f40d86e4,Susan,Wilson,676-86-7931,1,2006-08-09 19:20:36.361060,1,"[3, 5]",[1],0,1,2023-09-15
5583ad0c,Elizabeth,White,532-57-4053,8,1964-12-19 19:20:36.361069,1,[3],[0],0,1,2021-02-10
53bc6bd3,Anthony,Jones,536-21-1662,1,1997-08-24 19:20:36.361077,1,"[7, 5]",[1],0,1,2023-02-21
08d4e9ec,Ashley,Walker,574-96-4673,2,2001-12-15 19:20:36.361085,1,[5],[1],0,0,2023-05-26
3d31eb5d,Mary,Anderson,830-29-9115,8,2001-09-10 19:20:36.361094,1,[5],[1],1,1,2021-06-20
fc494999,Robert,Jones,762-77-2375,1,1998-05-20 19:20:36.361102,1,"[6, 5]",[1],0,1,2022-09-07
bb27a86e,Susan,Harris,547-20-8825,1,1995-02-23 19:20:36.361110,1,[7],[0],0,1,2024-05-03
bf11a631,Elizabeth,Jones,230-97-5921,1,1985-01-18 19:20:36.361119,1,"[3, 6, 5]",[0],1,1,2024-01-06
31da4b6a,Joseph,Thompson,635-64-5841,1,1994-02-26 19:20:36.361127,1,[2],[1],0,9,2021-11-09
3dc0be84,Jennifer,Brown,664-19-1738,2,1999-06-26 19:20:36.361135,1,[5],[1],0,1,2024-02-07
898c83d0,Nancy,Martin,622-64-7766,8,1988-09-19 19:20:36.361143,1,[2],[4],0,0,2021-12-26
7ba26e8e,Emily,Walker,776-82-5151,1,2009-05-03 19:20:36.361152,1,"[3, 5]",[1],0,1,2022-06-11
ec52bbcc,Jennifer,Thomas,699-20-9248,1,2001-01-28 19:20:36.361160,1,[3],[1],0,1,2023-02-19
e674a880,Matthew,Lewis,858-94-8583,1,1991-02-16 19:20:36.361169,2,[5],[0],0,1,2023-08-08
51c64484,Karen,Taylor,286-60-1741,1,1964-07-09 19:20:36.361177,1,[3],[0],0,1,2022-09-19
57670775,Elizabeth,Garcia,997-48-6143,1,1994-04-21 19:20:36.361185,1,"[1, 5]",[1],0,1,2023-07-18
070e1c60,Jennifer,Lee,565-95-8371,1,1994-08-21 19:20:36.361193,1,"[6, 5]",[0],0,1,2022-08-04
146d3971,Jennifer,Johnson,371-53-4066,9,2002-12-14 19:20:36.361202,1,"[3, 5]",[0],0,1,2023-02-08
03413f3b,Mark,Williams,180-87-5248,1,1999-04-11 19:20:36.361210,1,[6],[1],0,1,2024-02-26
ef46d7ca,Matthew,Anderson,208-XX-XXXX,1,1999-08-24 19:20:36.361218,1,[6],[1],0,1,2024-05-26
5742d220,Matthew,Martin,118-10-7470,1,2003-01-16 19:20:36.361226,2,[5],[0],0,0,2023-09-12
43315420,Donald,Jones,275-93-8817,1,2002-12-20 19:20:36.361235,1,"[3, 5]",[0],0,1,2021-05-28
f3e6b873,Lisa,Jackson,514-94-8974,99,1995-08-21 19:20:36.361243,1,"[3, 5]",[1],0,0,2022-11-14
bca7f7cf,Sandra,Taylor,932-88-6910,99,2008-08-05 19:20:36.361251,1,[5],[0],0,1,2021-10-07
61f0951a,Robert,Harris,806-96-7471,1,2001-06-14 19:20:36.361259,1,[5],[1],0,1,2023-08-20
9a021c2e,Jennifer,Robinson,189-26-3213,1,2006-11-16 19:20:36.361267,1,"[3, 5]",[0],0,0,2022-02-05
c16e0143,Linda,Lee,214-12-4083,1,2006-10-06 19:20:36.361276,1,"[1, 3, 5]",[0],0,1,2021-11-13
a4ea9ac9,Patricia,Taylor,314-XX-XXXX,1,2001-05-20 19:20:36.361284,1,[3],[0],0,0,2022-01-24
3d6019dd,Mary,Rodriguez,248-93-4961,1,1967-07-27 19:20:36.361292,1,"[3, 5]",[0],1,0,2021-01-09
21c471d9,David,Allen,741-78-4127,1,1982-05-19 19:20:36.361300,1,[3],[1],0,1,2021-01-27
a528bcc5,Charles,Harris,888-69-3427,1,1981-11-22 19:20:36.361308,9,[2],[0],0,1,2023-10-23
127a50cd,Robert,Wilson,122-24-3721,1,1977-11-10 19:20:36.361316,2,[7],[1],0,99,2023-02-06
4f88a8e4,Joseph,Garcia,856-XX-XXXX,1,1998-02-16 19:20:36.361325,1,[9],[0],0,1,2023-10-04
78a105ee,William,White,596-70-1321,9,2001-11-23 19:20:36.361333,1,[5],[1],1,1,2023-04-09
bbef35f4,Susan,Taylor,699-XX-XXXX,1,1981-12-29 19:20:36.361341,1,[8],"[1, 5]",0,1,2023-05-02
41567eda,Jennifer,Young,401-82-7418,1,1990-05-10 19:20:36.361349,99,[3],[3],0,0,2023-03-20
2181d788,Michael,White,108-23-8074,1,1993-10-12 19:20:36.361357,1,[6],[0],0,99,2023-02-04
cc1913d9,Karen,Miller,968-XX-XXXX,99,1990-05-21 19:20:36.361365,1,[2],[1],0,1,2023-02-26
7f2a4cbf,Matthew,Young,692-86-5764,1,2005-02-26 19:20:36.361373,1,[1],[0],0,1,2023-09-30
8d24eef4,Mary,Williams,509-72-9410,1,2005-10-08 19:20:36.361381,1,[5],[1],0,0,2022-09-23
0531c716,Lisa,Hernandez,726-96-8993,2,1980-04-22 19:20:36.361389,99,[3],[0],0,1,2024-04-19
ff769cf6,David,Allen,162-77-1311,1,1986-04-13 19:20:36.361398,9,[3],[0],0,1,2021-05-26
d9a00742,Susan,Hall,423-80-2040,1,1998-09-14 19:20:36.361406,1,"[3, 5]",[1],0,1,2023-04-18
b7a058fb,Robert,Martin,763-63-8755,1,1985-11-07 19:20:36.361414,1,[5],[99],0,0,2021-03-21
068a1284,Susan,Rodriguez,737-92-6681,1,1944-08-11 19:20:36.361422,1,[5],[1],0,1,2021-09-12
4fe7cd93,Joseph,Thomas,546-12-3643,1,1997-12-17 19:20:36.361430,1,[3],[0],0,99,2023-02-28
84c5cf6b,Karen,Davis,296-70-6633,1,2005-12-31 19:20:36.361439,1,"[1, 5]",[1],0,1,2024-03-04
d599e9c6,Jennifer,Smith,619-38-6556,1,2005-07-11 19:20:36.361447,1,"[3, 5]",[1],0,1,2021-11-29
a7298db7,Karen,Rodriguez,973-XX-XXXX,2,2005-08-12 19:20:36.361455,1,[4],[0],0,0,2022-02-02
21c9023b,Elizabeth,Martin,772-69-3148,1,2006-03-11 19:20:36.361463,1,[6],[6],0,99,2023-06-13
6661e97a,Patricia,Rodriguez,840-XX-XXXX,1,2005-06-28 19:20:36.361471,9,[3],[0],0,0,2022-06-07
c3a34fd7,Emily,Jones,526-96-6902,1,2003-12-13 19:20:36.361479,1,[6],[1],0,1,2022-12-15
9ee9c983,James,Jackson,918-30-4394,1,2002-04-16 19:20:36.361487,1,"[6, 4]",[5],0,1,2023-11-10
979cd95d,Richard,Harris,867-21-8911,1,2002-10-18 19:20:36.361495,8,"[2, 5]",[1],0,0,2023-09-28
4a5a8a43,Emily,Thompson,304-30-9063,1,1963-09-23 19:20:36.361504,1,[5],[0],0,1,2023-01-25
474071b4,Sarah,Rodriguez,525-73-5975,1,2001-12-08 19:20:36.361512,1,[3],[1],0,0,2021-04-29
b8022ffa,Anthony,Rodriguez,670-16-1297,1,1990-10-16 19:20:36.361520,99,"[1, 6, 7, 5]",[0],0,0,2023-03-01
1cbe43d0,Robert,Williams,367-55-3598,1,1997-07-12 19:20:36.361528,8,"[6, 5]",[0],0,1,2023-05-19
2b4a11ae,Joseph,Jones,980-74-1523,1,1954-08-01 19:20:36.361537,1,[9],[0],0,8,2022-05-21
b64ac2b6,Emily,Brown,445-65-2867,1,2006-12-07 19:20:36.361545,1,[5],[1],0,1,2022-05-12
ce2ce51a,David,Jackson,223-81-4671,1,1996-05-02 19:20:36.361553,1,[2],[1],0,1,2023-09-06
ef0704fd,Robert,Jackson,448-55-1764,9,1952-11-24 19:20:36.361561,1,[5],[1],0,0,2021-03-12
6f9ceeb9,James,Lewis,670-44-3476,1,1973-04-02 19:20:36.361569,2,[5],[0],0,0,2023-01-11
6d2038df,Margaret,Martinez,994-XX-XXXX,1,1972-10-08 19:20:36.361577,1,"[3, 5]",[1],0,0,2021-02-27
8516b823,Karen,Jones,785-23-1826,1,2002-05-05 19:20:36.361586,1,"[1, 3, 5]",[0],1,0,2021-10-30
9d807222,Thomas,Lee,548-XX-XXXX,9,2003-01-10 19:20:36.361594,1,[6],[1],0,1,2022-06-20
503867f0,David,King,961-24-2734,8,1992-08-24 19:20:36.361602,1,[5],[0],0,1,2024-05-24
5089ad70,Daniel,Hernandez,724-23-1687,1,1976-11-03 19:20:36.361610,1,[2],[1],0,1,2023-07-22
7714dde0,Matthew,Davis,271-90-2934,1,1987-05-03 19:20:36.361618,1,"[3, 5]",[0],0,0,2021-10-29
5c96aa71,Elizabeth,Williams,470-XX-XXXX,2,1999-09-17 19:20:36.361626,8,[6],[1],0,1,2022-06-05
0ad6d9c7,Sarah,Thomas,399-66-9288,1,2005-07-12 19:20:36.361635,1,[3],[5],0,1,2022-05-22
7ffcd7d0,Donald,Miller,991-22-3527,1,1980-05-11 19:20:36.361643,1,"[3, 5]",[1],0,0,2024-05-18
9bdf4c50,Elizabeth,Anderson,442-27-3014,1,2006-02-02 19:20:36.361651,1,"[3, 5]",[1],1,9,2024-03-30
fb0f7d4d,Anthony,Miller,549-63-1107,1,2002-09-21 19:20:36.361659,1,[6],[4],0,8,2021-11-27
7fffb235,Charles,Robinson,928-70-6592,8,1986-12-08 19:20:36.361667,1,[5],[1],0,0,2021-01-26
867b45d5,Lisa,Young,275-20-5358,9,2000-07-22 19:20:36.361675,1,[3],[1],0,1,2021-08-28
aa8d05be,Robert,Jackson,872-63-6908,1,2006-09-28 19:20:36.361683,1,[3],[0],0,1,2021-07-09
18817a0f,Sandra,Jones,351-29-9677,1,2005-12-11 19:20:36.361692,1,[6],[1],0,1,2023-02-27
74ed0b07,Charles,Wilson,333-27-8025,1,1999-03-13 19:20:36.361700,1,[6],[0],0,1,2023-03-26
434b38e5,Margaret,Allen,519-68-9456,1,2002-12-09 19:20:36.361708,1,"[3, 5]",[1],0,1,2024-04-15
0d8a02f0,Emily,White,470-13-8251,8,1996-02-11 19:20:36.361716,1,"[6, 5]",[1],0,1,2021-06-14
4a936a9e,Emily,Lee,110-76-2140,8,2006-08-26 19:20:36.361724,1,[8],[1],0,1,2023-11-28
00a1e776,Joseph,Martin,422-61-3692,2,1991-03-18 19:20:36.361732,1,"[2, 3, 6]",[0],0,1,2022-01-22
59334f17,David,Moore,502-14-3473,1,1999-03-19 19:20:36.361741,1,[5],[1],0,1,2023-05-17
ce7f132e,Matthew,Walker,159-XX-XXXX,1,2010-10-01 19:20:36.361749,1,"[4, 5]",[0],0,1,2021-12-06
214fa6b8,Patricia,Lewis,830-XX-XXXX,1,1992-10-13 19:20:36.361757,1,[5],[1],0,1,2023-05-25
a5924315,Margaret,Walker,996-76-5845,8,2007-03-19 19:20:36.361766,1,[5],[0],0,0,2022-06-02
573b26aa,Sarah,Martinez,797-99-5986,1,2008-02-20 19:20:36.361774,99,[3],[1],0,0,2022-09-11
6a8e65d8,Donald,Martinez,421-54-1129,1,1943-07-15 19:20:36.361782,1,[5],[1],0,1,2023-10-23
ee129d73,Mary,Moore,640-88-3406,1,2006-06-25 19:20:36.361790,1,[5],[1],0,1,2023-12-28
0eb1455d,Robert,Walker,556-92-4360,1,1974-02-25 19:20:36.361798,1,"[3, 6]",[1],0,0,2023-02-23
a67235ac,Lisa,Hall,739-XX-XXXX,1,2007-06-17 19:20:36.361807,2,[5],[1],0,0,2024-04-15
6fcf6dfb,Karen,Hall,767-66-6656,1,1990-02-22 19:20:36.361815,1,[6],[0],1,0,2022-09-23
040288c3,Patricia,Clark,900-XX-XXXX,1,1993-05-06 19:20:36.361823,1,[5],[0],0,99,2023-04-23
11f8cbca,Elizabeth,Jackson,894-35-5940,1,1994-09-25 19:20:36.361831,1,[3],[1],0,1,2021-07-02
217ed707,James,Thomas,650-52-7389,1,1997-03-07 19:20:36.361839,1,[7],[1],0,9,2021-08-12
fbd1134d,Richard,Martin,857-26-9527,1,1999-01-21 19:20:36.361848,1,[7],[1],0,1,2024-03-18
9f07cb24,Nancy,Rodriguez,390-XX-XXXX,1,1993-06-09 19:20:36.361856,1,[3],[1],0,1,2022-12-07
e4e32088,Mark,Robinson,623-80-6115,1,1965-03-31 19:20:36.361864,8,[2],[1],0,1,2021-10-20
df9054b2,Linda,Jackson,875-91-3621,1,1970-06-01 19:20:36.361872,1,"[3, 5]",[0],0,1,2022-07-05
093bbec5,Joseph,Martin,915-79-5238,1,1955-09-17 19:20:36.361880,1,[3],[1],0,0,2022-03-06
b8e77d8f,Susan,Thompson,892-48-7926,1,2002-06-11 19:20:36.361889,1,[5],[1],0,8,2023-03-27
f6a97bb3,John,Moore,213-XX-XXXX,2,1988-04-05 19:20:36.361897,2,[6],[1],0,1,2022-09-23
9267e16e,David,Brown,961-57-5255,1,1954-08-25 19:20:36.361905,1,[99],[0],1,1,2021-01-14
0577e181,Mary,Walker,462-25-1782,1,2001-04-28 19:20:36.361913,2,[3],[1],0,99,2021-12-11
2884eea2,Nancy,Harris,227-67-5881,1,2009-10-22 19:20:36.361921,1,[5],[1],0,1,2023-10-05
7541e27c,Daniel,Jones,105-68-6553,1,1984-03-01 19:20:36.361929,1,"[1, 6]",[1],0,1,2021-01-04
c6567f0d,Michael,Jones,924-XX-XXXX,1,1983-04-06 19:20:36.361937,1,[99],[4],0,0,2021-07-18
